FII;Vacancia;Inadimplencia;DataAtualizacao
ABCP11;0.016;0.001;22-06-2026 12:47
ADSH11;0.0;0;22-06-2026 12:47
AERO11;0.0;0;22-06-2026 12:47
AFHF11;0.0;0;22-06-2026 12:47
AFHI11;0.0;0;22-06-2026 12:47
AIEC11;0.08;0;22-06-2026 12:47
AJFI11;0.0828;0;22-06-2026 12:47
ALMI11;0.408;0;22-06-2026 12:47
ALZC11;0.0;0;22-06-2026 12:47
ALZR11;0.0;0;22-06-2026 12:47
ANCR11;0;0;22-06-2026 12:47
APTO11;0.27;0;22-06-2026 12:47
APXM11;0.0;0;22-06-2026 12:47
APXR11;0.0;0;22-06-2026 12:47
APXU11;0.0;0;22-06-2026 12:47
AROA11;0.0;0;22-06-2026 12:47
ARRI11;0.0;0;22-06-2026 12:47
ARTE11;0.0;0;22-06-2026 12:47
ARXD11;0.0;0;22-06-2026 12:47
ASRF11;0.0;0;22-06-2026 12:47
ATCR11;0.0;0;22-06-2026 12:47
ATSA11;0.159;0;22-06-2026 12:47
ATWN11;0.0;0;22-06-2026 12:47
AURB11;0.16;0;22-06-2026 12:47
AVUR11;0;0;22-06-2026 12:47
AZPE11;0.0;0;22-06-2026 12:47
AZPL11;0.0;0;22-06-2026 12:47
AZSG11;0;0;22-06-2026 12:47
BBFI11;1.0;0;22-06-2026 12:47
BBFO11;0.0;0;22-06-2026 12:47
BBIG11;0.012;0;22-06-2026 12:47
BBRC11;0.055;0;22-06-2026 12:47
BCIA11;0.0;0;22-06-2026 12:47
BCRI11;0.0;0;22-06-2026 12:47
BETW11;0.0467;0;22-06-2026 12:47
BFCC11;0;0;22-06-2026 12:47
BGRB11;0.05;0;22-06-2026 12:47
BGRJ11;0;0;22-06-2026 12:47
BGS111;0;0;22-06-2026 12:47
BICE11;0.0;0;22-06-2026 12:47
BIME11;0.0;0;22-06-2026 12:47
BINR11;0.0;0;22-06-2026 12:47
BIPD11;0.0;0;22-06-2026 12:47
BIPE11;0;0;22-06-2026 12:47
BLCA11;0.0;0;22-06-2026 12:47
BLMG11;0.0;0;22-06-2026 12:47
BLMO11;0.077;0.011;22-06-2026 12:47
BLOG11;0.135;0;22-06-2026 12:47
BLUE11;0;0;22-06-2026 12:47
BMLC11;0.0;0;22-06-2026 12:47
BMLT11;0.0;0;22-06-2026 12:47
BNFS11;0.269;0;22-06-2026 12:47
BPDR11;0;0;22-06-2026 12:47
BPLC11;0.0;0;22-06-2026 12:47
BPML11;0.067;0;22-06-2026 12:47
BPMW11;0;0;22-06-2026 12:47
BRCD11;0;0;22-06-2026 12:47
BRCO11;0.11;0;22-06-2026 12:47
BRCQ11;0;0;22-06-2026 12:47
BRCR11;0.111;0;22-06-2026 12:47
BRCT11;0;0;22-06-2026 12:47
BRHT11;0;0;22-06-2026 12:47
BRIM11;0.0;0;22-06-2026 12:47
BRIP11;0.0;0;22-06-2026 12:47
BROF11;0.103;0;22-06-2026 12:47
BRSE11;0.0;0;22-06-2026 12:47
BSLT11;0.0;0;22-06-2026 12:47
BTCI11;0.0;0;22-06-2026 12:47
BTHF11;0.0;0;22-06-2026 12:47
BTHI11;0.455;0;22-06-2026 12:47
BTHR11;0;0;22-06-2026 12:47
BTLG11;0.03;0;22-06-2026 12:47
BTML11;0.08;0;22-06-2026 12:47
BTSI11;0.0;0;22-06-2026 12:47
BTWR11;0.09;0;22-06-2026 12:47
BTYU11;0.0;0;22-06-2026 12:47
BVAR11;0.0;0;22-06-2026 12:47
BZEL11;0.0;0;22-06-2026 12:47
CACR11;0.0;0;22-06-2026 12:47
CARE11;0.0;0;22-06-2026 12:47
CBOP11;0.232;0;22-06-2026 12:47
CCME11;0.023;0;22-06-2026 12:47
CCVA11;0.0;0;22-06-2026 12:47
CDHY11;0;0;22-06-2026 12:47
CEBB11;0;0;22-06-2026 12:47
CENU11;0.189;0;22-06-2026 12:47
CEOC11;0.0;0;22-06-2026 12:47
CFII11;0.0;0;22-06-2026 12:47
CIXF11;0.0;0;22-06-2026 12:47
CIXM11;0.0;0;22-06-2026 12:47
CJCT11;0.27;0;22-06-2026 12:47
CLIN11;0.0;0;22-06-2026 12:47
CLSM11;0.0;0;22-06-2026 12:47
CNES11;0.594;0;22-06-2026 12:47
CPLG11;0.0;0;22-06-2026 12:47
CPOF11;0.015;0;22-06-2026 12:47
CPSH11;0.029;0;22-06-2026 12:47
CPTS11;0.0;0;22-06-2026 12:47
CPUR11;0.0015;0;22-06-2026 12:47
CRFF11;0.0;0;22-06-2026 12:47
CSMC11;0;0;22-06-2026 12:47
CTXT11;1.0;0;22-06-2026 12:47
CVFL11;0;0;22-06-2026 12:47
CVPR11;0.0;0;22-06-2026 12:47
CXAG11;0.0;0;22-06-2026 12:47
CXCE11;0.0;0;22-06-2026 12:47
CXCI11;0.0;0;22-06-2026 12:47
CXCO11;0.0;0;22-06-2026 12:47
CXRI11;0.0;0;22-06-2026 12:47
CXTL11;0.0;0;22-06-2026 12:47
CYCR11;0.0;0;22-06-2026 12:47
CYLD11;0.0;0;22-06-2026 12:47
DAMA11;0.0;0;22-06-2026 12:47
DAMT11;0;0;22-06-2026 12:47
DAYM11;0.0;0;22-06-2026 12:47
DEVA11;0.0;0;22-06-2026 12:47
DLMT11;0.0;0;22-06-2026 12:47
